Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,MagneticBuzzer_StarMicronics_TMB,1,Buzzer,
D1,1206,1,LED,
"D3, D4",D_SOD-323,2,1N4148WS,
J1,PinHeader_1x05_P2.54mm_Horizontal,1,Conn_01x05_Pin,
J2,TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal,1,Siren_Out,
J3,BarrelJack_Horizontal,1,19V IN,
J4,TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal,1,19V OUT,
J5,PinHeader_1x02_P2.54mm_Vertical,1,BUCK IN -,
J6,PinHeader_1x02_P2.54mm_Vertical,1,BUCK IN +,
J7,PinHeader_1x02_P2.54mm_Vertical,1,BUCK OUT -,
J8,PinHeader_1x02_P2.54mm_Vertical,1,BUCK OUT +,
K1,Relay_DPDT_Finder_30.22,1,HK19F-DCxxV-SHC,
"Q1, Q2",SOT-23,2,AO3400A,
"R1, R3",1206,2,10k,
R2,1206,1,100,
