Designator,Mid X,Mid Y,Rotation,Layer
BZ1,112.2,-90.0,0.0,top
D1,109.5,-80.25,180.0,top
D3,176.25,-86.8,90.0,top
D4,120.5,-89.45,90.0,top
J1,193.0,-70.25,0.0,top
J2,182.73,-45.75,0.0,top
J3,184.1,-107.875,90.0,top
J4,156.73,-113.5,0.0,top
J5,145.0,-101.205,180.0,top
J6,145.0,-112.02,180.0,top
J7,126.2,-111.955,180.0,top
J8,126.2,-101.205,180.0,top
K1,189.31,-87.56,0.0,top
Q1,179.5,-78.1,180.0,top
Q2,114.9375,-80.05,180.0,top
R1,185.0,-78.0,0.0,top
R2,109.5375,-76.0,180.0,top
R3,115.0,-75.75,0.0,top
